user_name,review_text,rating,date,version,thumbs_up,reply
Usuario_1,bueno,5,2026-07-05 01:37:37,6.86.4,0,
Usuario_2,si me ayuda a hablar japoness,5,2026-07-05 01:36:04,6.86.4,0,
Usuario_3,una muy recomendada app,5,2026-07-05 01:35:54,6.86.4,0,
Usuario_4,llevo 2 días en duolingo y ya se hablar muchos idiomas .,5,2026-07-05 01:31:51,6.86.5,0,
Usuario_5,ta bien a lo mejor,5,2026-07-05 01:30:29,6.86.4,0,
Usuario_6,Me ayuda bastante con mi ansiedad.,5,2026-07-05 01:30:26,6.85.7,0,
Usuario_7,muy bueno se los recomiendo 😃,5,2026-07-05 01:21:14,6.86.4,0,
Usuario_8,es muy buenaza,5,2026-07-05 01:18:23,6.86.4,0,
Usuario_9,jeje,5,2026-07-05 01:18:05,6.86.4,0,
Usuario_10,"Me gusta, ponen ejercicios prácticos que te ayudan a retener lo aprendido. Escritura, lectura y Práctica de voz para practicar la conversación.",5,2026-07-05 01:17:37,6.86.4,0,
Usuario_11,es la mejor aplicación del mundo por que si no fuera por ella no viera aprendido inglés,5,2026-07-05 01:13:02,,0,
Usuario_12,es muy buena y me ayuda y lo mejor sin comerciales,4,2026-07-05 01:11:26,6.86.4,0,
Usuario_13,es increíble,5,2026-07-05 01:09:34,6.86.5,0,
Usuario_14,muy bien parase. maestro ino es difícil,4,2026-07-05 01:08:36,6.86.5,0,
Usuario_15,cómo por 2 días pedí mi racha de 475 días la desinstale y aquí me despido.,4,2026-07-05 01:08:14,6.80.6,0,
Usuario_16,el ajedrez es una maravilla,5,2026-07-05 01:07:55,6.86.5,0,
Usuario_17,le doy en la aplicación 10 de 10,5,2026-07-05 01:05:54,6.86.4,0,
Usuario_18,es lo mejor,5,2026-07-05 01:05:05,6.86.4,0,
Usuario_19,No Me Dejaron Hacer La Racha Por Que Nos Tenía Energía Y Por Eso Perdí Mi Racha De 237 Días Y El Día Anterior No Hize Racha,1,2026-07-05 01:01:02,6.86.4,0,
Usuario_20,es muy practico y fácil de aprender los idiomas,1,2026-07-05 01:00:45,6.86.4,0,
Usuario_21,Good,5,2026-07-05 00:59:42,6.86.4,0,
Usuario_22,me encantó es muy buena,5,2026-07-05 00:59:31,6.86.4,0,
Usuario_23,"últimamente duolingo se reinicia, es decir, se pone en blanco y me bota, y todo el avance desaparece, no he podido completar mis lecciones así. no te molestes después búho.",4,2026-07-05 00:58:14,6.86.4,0,
Usuario_24,es una buena app sirve para aprender ingles y mucho mas,5,2026-07-05 00:55:54,6.86.4,0,
Usuario_25,"Yo tengo 2 hermanos que también están aprendiendo en Duolingo y se supone deberíamos llevar la misma cantidad de uniformes en la ""Copa Duo"" y resulta que yo tengo menos que ellos",3,2026-07-05 00:51:03,6.85.7,0,
Usuario_26,algunas no entiendo,4,2026-07-05 00:50:27,6.86.4,0,
Usuario_27,EXCELENTE,5,2026-07-05 00:48:21,6.86.4,0,
Usuario_28,"La app es muy buena y .muy divertida, solo q a mi en lo personal me gustaria q tuviera un tipo chat para mandar mnsjs o cosas asi a tur amigos",5,2026-07-05 00:44:02,6.86.4,4,
Usuario_29,"pues hasta ahora me esta gustando mucho, a veces como que se buguea y no reproduce los sonidos pero lo abro yo vuelvo a abrir y se le quita, aunque últimamente está sucediendo que en la parte donde debo hablar, no reconoce mi micrófono porque dice que ""mejor nos saltamos está parte"" y hace otros ejercicios",5,2026-07-05 00:42:08,6.86.4,0,
Usuario_30,"excelente ,dinámico ,adictivo",5,2026-07-05 00:41:48,6.86.4,0,
Usuario_31,"El error con las recompensas es bastante habitual, y ahora más con los uniformes de los equipos van cómo dos días qué se traba y no me dan ningún uniforme.",1,2026-07-05 00:38:49,,0,
Usuario_32,es muy práctico y divertido,5,2026-07-05 00:38:38,6.86.4,0,
Usuario_33,"me encanta por qué es muy buena esta aplicación y ya entiendo muchas palabras en roso y también me va bien en ajedes,alemán y inglés",5,2026-07-05 00:38:27,6.86.4,0,
Usuario_34,me encanta duolingo o sea está súper chido o sea lo único que no me gusta que se me acaban los botecitos esos que me generan pues que me que hacen que pueda jugar más y más y más y pues tengo que esperar para que me generan y eso me causa un poquito de impaciencia y así pero me encanta,5,2026-07-05 00:37:54,6.85.7,0,
Usuario_35,muy genial aprender rápido el idioma que deseas aprender durante una semana dominaras algunas palabras,5,2026-07-05 00:37:27,6.86.4,0,
Usuario_36,muy buena para aprender idiomas 🤠,5,2026-07-05 00:36:13,6.86.4,0,
Usuario_37,excelente oportunidad para aprender,5,2026-07-05 00:34:24,6.86.4,0,
Usuario_38,!excelente des de que instale está aplicación aprendí más inglés aprendes más rápido y no importa que te equivoqué por qué vuelves a aserlo y muy fantástico!,5,2026-07-05 00:33:04,6.86.4,0,
Usuario_39,es hermoso me encanta se aprende mucho y logré aprender mucho ingles y es bueno que tengan diferentes idiomas para aprender ☺️😊💓💕💞,5,2026-07-05 00:32:39,6.86.4,0,
Usuario_40,es la mejor app ya se algunas palabras en ingles por ejemplo small es maravillosa 🫰🏻🫰🏻,5,2026-07-05 00:31:04,6.86.5,0,
Usuario_41,es una app genial sigan trabajando así,5,2026-07-05 00:30:47,,0,
Usuario_42,"Es muy practica me ayuda mucho , me parece una muy buena aplicacion y tambien me gusta para que se me facilite en la prepa o secundaria el ingles . hermosa aplicacion.",4,2026-07-05 00:28:04,5.101.14,0,
Usuario_43,solo un poco de dedicación al día y aprender,3,2026-07-05 00:24:39,6.86.4,0,
Usuario_44,Horrible.,1,2026-07-05 00:24:14,6.86.4,0,
Usuario_45,súper buena. lo único es que no debería tener vidas porque así aprendes mejor. muy buena☺️,5,2026-07-05 00:24:06,,0,
Usuario_46,bien,5,2026-07-05 00:23:47,6.86.4,0,
Usuario_47,Cómo bingo está bien perro,5,2026-07-05 00:22:39,6.86.4,0,
Usuario_48,La verdad es una excelente aplicación me está ayudando a aprender portugués y la verdad si estoy aprendiendo bien por los momentos,5,2026-07-05 00:17:17,6.86.4,0,
Usuario_49,muy bueno ahora soy el mejor en clase 😎😎,5,2026-07-05 00:17:03,6.86.4,0,
Usuario_50,"no me dieron mi uniforme de hoy ya hice la lección y no me lo dieron, y marco como si ya lo tuviera",4,2026-07-05 00:16:04,6.86.4,0,
Usuario_51,👍,5,2026-07-05 00:13:57,6.86.5,1,
Usuario_52,me encanta,5,2026-07-05 00:13:23,6.86.4,0,
Usuario_53,mau bueno,5,2026-07-05 00:13:04,6.86.4,0,
Usuario_54,si te ayuda mucho aprender duolingo😃😃👍👍,4,2026-07-05 00:12:42,6.86.4,0,
Usuario_55,lo amo me enseña fácil y rápido,5,2026-07-05 00:10:27,6.86.5,0,
Usuario_56,muy entretenido y educativo,5,2026-07-05 00:08:18,6.86.4,0,
Usuario_57,muy buena aplicación si quieres aprender muchos idiomas además es gratis.,5,2026-07-05 00:07:52,6.86.5,0,
Usuario_58,es el mejor aplicación de inglés,5,2026-07-05 00:06:53,6.86.5,0,
Usuario_59,muy bueno para aprender,5,2026-07-05 00:06:51,6.86.4,0,
Usuario_60,cae mal que cobren jajaja,4,2026-07-05 00:05:11,6.86.4,0,
Usuario_61,es genial,5,2026-07-05 00:04:29,5.141.12,0,
Usuario_62,sirve mucho para comunicarse o para un viaje,5,2026-07-05 00:04:21,6.86.4,0,
Usuario_63,Muy buena aplicación y sobretodo didáctica :),5,2026-07-05 00:03:08,6.86.4,0,
Usuario_64,me encanta 😍😍😍,4,2026-07-05 00:02:55,,0,
Usuario_65,Las actualizaciones causan errores en las rachas.,1,2026-07-04 23:58:14,,0,
Usuario_66,"Me encanta la nueva actualización, más cosas para aprender, la animación y las recompensas, juegos. es buena motivación para seguir aprendiendo",5,2026-07-04 23:55:37,6.86.4,0,
Usuario_67,muy chico y divertido gracias a duolingo aprendí brasileño,5,2026-07-04 23:54:31,6.85.7,0,
Usuario_68,me encanta aprender con Duolingo,5,2026-07-04 23:52:47,6.86.4,0,
Usuario_69,Muy buena la aplicacion te enseña el idioma de una manera divertida,5,2026-07-04 23:52:03,6.86.4,0,
Usuario_70,Esta bueno o sus mensajes de ingreible es muy Bonito grasias duolingo por enseñarme coreano,5,2026-07-04 23:50:24,6.86.4,0,
Usuario_71,esta increíble,5,2026-07-04 23:49:48,6.86.4,0,
Usuario_72,es muy bonito aprender coreano en esta app,5,2026-07-04 23:48:29,6.86.4,0,
Usuario_73,exelente,5,2026-07-04 23:46:47,,0,
Usuario_74,Me encantó la verdad,5,2026-07-04 23:45:09,6.86.5,0,
Usuario_75,"Es una app para practicar el idioma pero perderás mucho tiempo en pulsar cofres, racha y mucha maniobra, debería ir más al grano para poder practicar concretamente sin perder tiempo",2,2026-07-04 23:43:06,6.86.5,0,
Usuario_76,lo mejor del mundo,5,2026-07-04 23:42:53,6.86.4,0,
Usuario_77,una buena aplicacion y todavia gratis,5,2026-07-04 23:37:11,6.86.4,0,
Usuario_78,Ya me tienen hasta la madre los anuncios cada lección peor vuando las termino rápido.,1,2026-07-04 23:35:54,6.83.4,0,
Usuario_79,muy bueno lo recomiendo,5,2026-07-04 23:34:24,6.86.4,0,
Usuario_80,buena app,4,2026-07-04 23:34:04,6.86.4,0,
Usuario_81,duolingo me enseño mucho,5,2026-07-04 23:32:33,6.86.5,0,
Usuario_82,Ya se un poco inglés pero hace que se sienta más fluido mi inglish y también estudio portugués por esta app y me va bien EXCELENTE APP,5,2026-07-04 23:30:59,6.86.4,0,
Usuario_83,no me quejo,5,2026-07-04 23:29:35,6.86.4,0,
Usuario_84,es muy bueno y aprendo mucho,5,2026-07-04 23:27:13,6.86.4,0,
Usuario_85,es una gran app para hablar ingles y ya aprendi mucho gracias a Duolingo,5,2026-07-04 23:26:49,6.86.4,0,
Usuario_86,"Me gusta es como un juego para aprender inglés, con el práctico mucho gracias a los creadores...",5,2026-07-04 23:26:15,6.86.4,0,
Usuario_87,duo secuestro a mi gato y me esta obligando a escribir esto obra maestra /10,5,2026-07-04 23:25:59,6.86.4,0,
Usuario_88,"muy buena app, la recomiendo",5,2026-07-04 23:25:49,6.86.4,0,
Usuario_89,lo mejor que he conocido desde el año 2014 💥,5,2026-07-04 23:25:24,6.86.4,0,
Usuario_90,le puse uno porque estoy en la etapa 247 dis que racha pero no sé puede subir más porque se para y no deja activar tu racha no pude poner 0 estrellas pero si fuera por mi le pondría cero,1,2026-07-04 23:25:16,,0,
Usuario_91,"LA APP ES MUY BUENA YA SE ABLAR EN FRANCÉS ESTO ES LO QUE EH APRENDIDO Bonjour, café, bien, merci, pourquoi ? Hahaha y muchas cosas más",5,2026-07-04 23:23:21,6.85.7,0,
Usuario_92,Super bien,5,2026-07-04 23:20:31,6.86.4,0,
Usuario_93,me ayudó a mejorar mis notas 😃,5,2026-07-04 23:19:33,6.85.7,0,
Usuario_94,"me gusta mucho, te enseña a pronunciar las palabras",5,2026-07-04 23:18:30,6.86.4,0,
Usuario_95,Me ase aprender muchi,5,2026-07-04 23:16:56,6.86.4,0,
Usuario_96,es cine 🎥,5,2026-07-04 23:16:46,6.86.4,0,
Usuario_97,es jenial aprendí inglés y ajedres,5,2026-07-04 23:15:05,6.86.4,0,
Usuario_98,muy buena la vdd,5,2026-07-04 23:14:40,6.86.4,0,
Usuario_99,men canta Duolingo y matemáticas,5,2026-07-04 23:13:14,6.86.4,0,